filename	category	lines	imports	sorry_count	admit_count	axiom_decl_count	print_axioms_count	top_level_decl_count	top_level_theorem_def_names	same_named_modules_under_ArithmeticHodge	same_named_declarations_under_ArithmeticHodge	overlap_status	disposition	salvage_rank	notes
BombieriCriticalGammaPairScratch.lean	Scratch	84	ArithmeticHodge.Analysis.MultiplicativeWeilDigamma;ArithmeticHodge.Analysis.ZetaFunctionalLogDerivative	0	0	0	2	3	theorem:digamma_conj_of_pos_re;theorem:bombieri_digamma_critical_pair_scratch;theorem:bombieri_neg_zeta_logDeriv_critical_pair_scratch		digamma_conj_of_pos_re=>digamma_conj_of_pos_re@ArithmeticHodge.Analysis.MultiplicativeWeilCriticalGammaPair;bombieri_digamma_critical_pair_scratch=>bombieri_digamma_critical_pair@ArithmeticHodge.Analysis.MultiplicativeWeilCriticalGammaPair;bombieri_neg_zeta_logDeriv_critical_pair_scratch=>bombieri_neg_zeta_logDeriv_critical_pair@ArithmeticHodge.Analysis.MultiplicativeWeilCriticalGammaPair	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriDigammaIntegralScratch.lean	Scratch	114	ArithmeticHodge.Analysis.MultiplicativeWeilArchimedeanKernel;ArithmeticHodge.Analysis.MultiplicativeWeilDigamma	0	0	0	5	5	theorem:bombieriDigammaKernel_eq_cauchy;theorem:bombieriDigammaKernel_integral;theorem:bombieriDigammaKernel_mul_mellin_integrable;theorem:normalized_integral_mellin_eq_apply_one;theorem:bombieriDigammaKernel_sub_integral		bombieriDigammaKernel_eq_cauchy=>bombieriDigammaKernel_eq_cauchy@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral;bombieriDigammaKernel_integral=>bombieriDigammaKernel_integral@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral;bombieriDigammaKernel_mul_mellin_integrable=>bombieriDigammaKernel_mul_mellin_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral;normalized_integral_mellin_eq_apply_one=>normalized_integral_mellin_eq_apply_one@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral;bombieriDigammaKernel_sub_integral=>bombieriDigammaKernel_sub_integral@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriDigammaRealPartScratch.lean	Scratch	78	ArithmeticHodge.Analysis.ComplexStirling	0	0	0	2	3	def:bombieriDigammaKernel;theorem:one_div_quarter_vertical_add_nat_re;theorem:digamma_quarter_vertical_re_eq		bombieriDigammaKernel=>bombieriDigammaKernel@ArithmeticHodge.Analysis.MultiplicativeWeilDigamma;one_div_quarter_vertical_add_nat_re=>one_div_quarter_vertical_add_nat_re@ArithmeticHodge.Analysis.MultiplicativeWeilDigamma;digamma_quarter_vertical_re_eq=>digamma_quarter_vertical_re_eq@ArithmeticHodge.Analysis.MultiplicativeWeilDigamma	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriDigammaSummationScratch.lean	Scratch	459	ArithmeticHodge.Analysis.MultiplicativeWeilDigammaIntegral	0	0	0	11	12	theorem:abs_bombieriDigammaKernel_sub_inv_le;theorem:summable_bombieriDigammaKernel_sub_inv;theorem:bombieriMellin_one_add_sq_norm_integrable;def:bombieriDigammaSeriesIntegrand;theorem:bombieriDigammaSeriesIntegrand_integrable;theorem:summable_integral_norm_bombieriDigammaSeriesIntegrand;theorem:integral_tsum_bombieriDigammaSeriesIntegrand;theorem:bombieriDigammaSeries_integrable;theorem:bombieriDigamma_series_integral;theorem:digamma_quarter_vertical_re_mul_mellin_eq;theorem:digamma_quarter_vertical_re_mul_mellin_integrable;theorem:bombieri_digamma_integral		abs_bombieriDigammaKernel_sub_inv_le=>abs_bombieriDigammaKernel_sub_inv_le@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;summable_bombieriDigammaKernel_sub_inv=>summable_bombieriDigammaKernel_sub_inv@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;bombieriMellin_one_add_sq_norm_integrable=>bombieriMellin_one_add_sq_norm_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;bombieriDigammaSeriesIntegrand=>bombieriDigammaSeriesIntegrand@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;bombieriDigammaSeriesIntegrand_integrable=>bombieriDigammaSeriesIntegrand_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;summable_integral_norm_bombieriDigammaSeriesIntegrand=>summable_integral_norm_bombieriDigammaSeriesIntegrand@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;integral_tsum_bombieriDigammaSeriesIntegrand=>integral_tsum_bombieriDigammaSeriesIntegrand@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;bombieriDigammaSeries_integrable=>bombieriDigammaSeries_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;bombieriDigamma_series_integral=>bombieriDigamma_series_integral@ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation;digamma_quarter_vertical_re_mul_mellin_eq=>digamma_quarter_vertical_re_mul_mellin_eq@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;digamma_quarter_vertical_re_mul_mellin_integrable=>digamma_quarter_vertical_re_mul_mellin_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;bombieri_digamma_integral=>bombieri_digamma_integral@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriDirichletInterchangeScratch.lean	Scratch	192	ArithmeticHodge.Analysis.MultiplicativeWeilMellinFourier;Mathlib.MeasureTheory.Integral.DominatedConvergence	0	0	0	7	9	lemma:norm_LSeriesTerm_vertical_eq;lemma:continuous_LSeriesTerm_vertical;lemma:LSeries_vertical_continuous_scratch;lemma:norm_LSeries_vertical_le_scratch;lemma:bombieriMellin_mul_LSeries_integrable_scratch;lemma:bombieri_coeff_eval_summable_scratch;theorem:bombieriMellin_integral_mul_LSeries_scratch;theorem:bombieri_coeff_eval_hasSum_verticalIntegral_scratch;theorem:bombieriMellin_integral_mul_vonMangoldt_LSeries_scratch		norm_LSeriesTerm_vertical_eq=>norm_LSeriesTerm_vertical_eq@ArithmeticHodge.Analysis.MultiplicativeWeilDirichletInterchange;continuous_LSeriesTerm_vertical=>continuous_LSeriesTerm_vertical@ArithmeticHodge.Analysis.MultiplicativeWeilDirichletInterchange;bombieriMellin_integral_mul_LSeries_scratch=>bombieriMellin_integral_mul_LSeries@ArithmeticHodge.Analysis.MultiplicativeWeilDirichletInterchange;bombieriMellin_integral_mul_vonMangoldt_LSeries_scratch=>bombieriMellin_integral_mul_vonMangoldt_LSeries@ArithmeticHodge.Analysis.MultiplicativeWeilDirichletInterchange	partial:4/9	partial_overlap_review		
BombieriDistinctZeroSumFormulaScratch.lean	Scratch	38	ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;ArithmeticHodge.Analysis.MultiplicativeWeilZeroFiberSum	0	0	0	1	2	def:BombieriDistinctZeroSumFormula;theorem:bombieriZeroSumFormula_iff_distinct_scratch		BombieriDistinctZeroSumFormula=>BombieriDistinctZeroSumFormula@ArithmeticHodge.Analysis.MultiplicativeWeilDistinctZeroSum;BombieriDistinctZeroSumFormula=>bombieriDistinctZeroSumFormula@ArithmeticHodge.Analysis.MultiplicativeWeilExplicitFormula;bombieriZeroSumFormula_iff_distinct_scratch=>bombieriZeroSumFormula_iff_distinct@ArithmeticHodge.Analysis.MultiplicativeWeilDistinctZeroSum	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriFiniteXiContourScratch.lean	Scratch	170	ArithmeticHodge.Analysis.Contour.XiRectangleArgumentPrinciple;ArithmeticHodge.Analysis.MultiplicativeWeil;ArithmeticHodge.Analysis.MultiplicativeWeilXiBoundary;ArithmeticHodge.Analysis.XiZeroFreeHeight	0	0	0	3	6	theorem:bombieriTest_eventuallyEq_zero_atTop;theorem:bombieriTest_eventuallyEq_zero_nhdsGT_zero;theorem:bombieriMellin_differentiable_scratch;theorem:bombieriMellin_analyticOnNhd;theorem:bombieriFiniteXiContour_of_boundary_zero_free_scratch;theorem:bombieriFiniteCriticalStripXiContour_of_horizontal_pair_scratch		bombieriTest_eventuallyEq_zero_atTop=>bombieriTest_eventuallyEq_zero_atTop@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour;bombieriTest_eventuallyEq_zero_nhdsGT_zero=>bombieriTest_eventuallyEq_zero_nhdsGT_zero@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour;bombieriMellin_differentiable_scratch=>bombieriMellin_differentiable@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour;bombieriMellin_analyticOnNhd=>bombieriMellin_analyticOnNhd@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour;bombieriFiniteXiContour_of_boundary_zero_free_scratch=>bombieriFiniteXiContour_of_boundary_zero_free@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour;bombieriFiniteCriticalStripXiContour_of_horizontal_pair_scratch=>bombieriFiniteCriticalStripXiContour_of_horizontal_pair@ArithmeticHodge.Analysis.MultiplicativeWeilFiniteXiContour	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriFunctionalScratch.lean	Scratch	120	ArithmeticHodge.Analysis.MultiplicativeWeilPrime;ArithmeticHodge.Analysis.MultiplicativeWeilArchimedean	0	0	0	5	15	def:mellinLinearMap;theorem:mellinLinearMap_apply;def:evaluationLinearMap;theorem:evaluationLinearMap_apply;def:polarLinearMap;theorem:polarLinearMap_apply;theorem:polarLinearMap_transpose;def:archConstant;def:archTermLinearMap;theorem:archTermLinearMap_apply;theorem:bombieriArchIntegrand_transpose;theorem:bombieriArchTerm_transpose;def:bombieriFunctional;theorem:bombieriFunctional_apply;theorem:bombieriFunctional_transpose		mellinLinearMap=>mellinLinearMap@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;mellinLinearMap_apply=>mellinLinearMap_apply@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;bombieriArchIntegrand_transpose=>bombieriArchIntegrand_transpose@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;bombieriArchTerm_transpose=>bombieriArchTerm_transpose@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;bombieriFunctional=>bombieriFunctional@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;bombieriFunctional_apply=>bombieriFunctional_apply@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional;bombieriFunctional_transpose=>bombieriFunctional_transpose@ArithmeticHodge.Analysis.MultiplicativeWeilFunctional	partial:7/15	partial_overlap_review		
BombieriGammaArchimedeanScratch.lean	Scratch	140	BombieriWeightedMellinRealSpaceScratch;BombieriArchSeriesIntegralScratch;ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant	0	0	0	1	6	def:bombieriWeightedMellinValue;def:bombieriCorrectedWeightedMellinValue;def:bombieriHarmonicDelta;theorem:hasSum_bombieriCorrectedWeightedMellinValue;theorem:bombieri_gamma_series_algebra;theorem:bombieri_digamma_integral_sub_log_pi_eq_archTerm_scratch		bombieriWeightedMellinValue=>bombieriWeightedMellinValue@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;bombieriCorrectedWeightedMellinValue=>bombieriCorrectedWeightedMellinValue@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;bombieriHarmonicDelta=>bombieriHarmonicDelta@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;hasSum_bombieriCorrectedWeightedMellinValue=>hasSum_bombieriCorrectedWeightedMellinValue@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;bombieri_gamma_series_algebra=>bombieri_gamma_series_algebra@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean;bombieri_digamma_integral_sub_log_pi_eq_archTerm_scratch=>bombieri_digamma_integral_sub_log_pi_eq_archTerm@ArithmeticHodge.Analysis.MultiplicativeWeilGammaArchimedean	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriGammaIntegralScratch.lean	Scratch	165	ArithmeticHodge.Analysis.MultiplicativeWeilDigammaSummation	0	0	0	2	3	theorem:digamma_quarter_vertical_re_mul_mellin_eq;theorem:digamma_quarter_vertical_re_mul_mellin_integrable;theorem:bombieri_digamma_integral		digamma_quarter_vertical_re_mul_mellin_eq=>digamma_quarter_vertical_re_mul_mellin_eq@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;digamma_quarter_vertical_re_mul_mellin_integrable=>digamma_quarter_vertical_re_mul_mellin_integrable@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral;bombieri_digamma_integral=>bombieri_digamma_integral@ArithmeticHodge.Analysis.MultiplicativeWeilGammaIntegral	all_declarations_now_exist	superseded_by_tracked_declarations		
BombieriHarmonicConstantScratch.lean	Scratch	88	Mathlib.NumberTheory.Harmonic.EulerMascheroni	0	0	0	1	6	def:bombieriPositiveTerm;lemma:bombieriPositiveTerm_nonneg;lemma:sum_range_bombieriPositiveTerm;lemma:tendsto_harmonic_two_mul_add_one_sub;lemma:hasSum_bombieriPositiveTerm;theorem:bombieri_harmonic_constant_scratch		bombieriPositiveTerm=>bombieriPositiveTerm@ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant;bombieriPositiveTerm_nonneg=>bombieriPositiveTerm_nonneg@ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant;sum_range_bombieriPositiveTerm=>sum_range_bombieriPositiveTerm@ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant;tendsto_harmonic_two_mul_add_one_sub=>tendsto_harmonic_two_mul_add_one_sub@ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant;hasSum_bombieriPositiveTerm=>hasSum_bombieriPositiveTerm@ArithmeticHodge.Analysis.MultiplicativeWeilHarmonicConstant	partial:5/6	mostly_promoted_review_residue		
BombieriLiCriterionClosureScratch.lean	Scratch	65	ArithmeticHodge.Analysis.MultiplicativeWeilCriterion;ArithmeticHodge.Analysis.MultiplicativeWeilLiDominantSeries	0	0	0	0	2	def:BombieriLiSpectralApproximationScratch;theorem:bombieriOffCriticalSpectralNegativity_of_liApproximationScratch		BombieriLiSpectralApproximationScratch=>BombieriLiSpectralApproximation@ArithmeticHodge.Analysis.MultiplicativeWeilLiCriterionClosure;bombieriOffCriticalSpectralNegativity_of_liApproximationScratch=>bombieriOffCriticalSpectralNegativity_of_liApproximation@ArithmeticHodge.Analysis.MultiplicativeWeilLiCriterionClosure	all_declarations_now_exist	superseded_by_tracked_declarations		
